model,num_samples,bleu4,rouge_l,strict_final_answer_acc,fallback_final_answer_acc,format_rate,equation_coverage,equation_step_acc,equation_all_correct_rate
RNN_full,1319,0.129968,0.389191,0.025019,0.025777,0.903715,0.939348,0.074517,0.020178
Transformer_full,1319,0.053301,0.193792,0.004549,0.006823,0.245641,0.415466,0.034143,0.007299
RNN_final_only,1319,0.0,0.047052,0.028052,0.028052,1.0,0.0,0.0,0.0
RNN_final_opt_beam5,1319,0.0,0.02616,0.024261,0.024261,1.0,0.0,0.0,0.0
Transformer_final_only,1319,0.0,0.021786,0.031842,0.031842,1.0,0.0,0.0,0.0
Transformer_final_opt,1319,0.0,0.037787,0.034875,0.034875,1.0,0.0,0.0,0.0
Transformer_final_v2,1319,0.0,0.029195,0.031842,0.031842,1.0,0.0,0.0,0.0
Pretrained_T5_small_final,1319,0.0,0.028251,0.041698,0.041698,1.0,0.0,0.0,0.0
Pretrained_T5_base_final,1319,0.0,0.027939,0.051554,0.051554,1.0,0.0,0.0,0.0
Dev_tuned_ensemble,1319,0.0,0.027939,0.051554,0.051554,1.0,0.0,0.0,0.0
Local_Qwen25_Math_15B_CoT,1319,0.122963,0.291846,0.79909,0.804397,0.953753,0.0,0.0,0.0
DeepSeek_v4_flash,1319,0.173545,0.390629,0.946171,0.946171,1.0,0.0,0.0,0.0
DeepSeek_v4_pro,1319,0.188433,0.416396,0.949962,0.949962,1.0,0.0,0.0,0.0
