epoch,train_loss,dev_loss,dev_strict_acc,dev_fallback_acc,dev_format_rate,teacher_forcing_ratio,gpu_max_mem_gb
1,1.651225,1.308924,0.018717,0.018717,1.0,1.0,0.603
2,1.371723,1.300008,0.010695,0.010695,1.0,0.978571,0.603
3,1.324797,1.301023,0.016043,0.016043,1.0,0.957143,0.607
4,1.279525,1.291422,0.02139,0.02139,1.0,0.935714,0.607
5,1.257828,1.412872,0.030749,0.030749,1.0,0.914286,0.607
6,1.202071,1.381969,0.028075,0.028075,1.0,0.892857,0.611
7,1.161594,1.423199,0.014706,0.014706,1.0,0.871429,0.611
8,1.083645,1.501945,0.022727,0.022727,1.0,0.85,0.611
9,0.992983,1.594217,0.029412,0.029412,1.0,0.828571,0.611
10,0.895574,1.683593,0.020053,0.020053,1.0,0.807143,0.611
