epoch,train_loss,dev_loss,dev_strict_acc,dev_fallback_acc,dev_format_rate,gpu_max_mem_gb,lr
1,2.885119,1.942059,0.018717,0.018717,1.0,0.736,0.0003
2,1.93308,1.914674,0.013369,0.013369,1.0,0.768,0.00029705
3,1.917119,1.883295,0.020053,0.020053,1.0,0.768,0.00028833
4,1.910963,1.876668,0.018717,0.018717,1.0,0.772,0.00027422
5,1.890867,1.884901,0.02139,0.02139,1.0,0.772,0.00025533
6,1.879112,1.882915,0.014706,0.014706,1.0,0.772,0.0002325
7,1.866338,1.884244,0.020053,0.020053,1.0,0.772,0.00020672
8,1.853292,1.866184,0.020053,0.020053,1.0,0.772,0.00017911
9,1.831384,1.867563,0.02139,0.02139,1.0,0.772,0.00015089
10,1.813882,1.888575,0.01738,0.01738,1.0,0.772,0.00012328
11,1.798754,1.8987,0.018717,0.018717,1.0,0.772,9.75e-05
12,1.778699,1.936507,0.02139,0.02139,1.0,0.772,7.467e-05
13,1.762825,1.925643,0.02139,0.02139,1.0,0.772,5.578e-05
14,1.751018,1.939181,0.02139,0.02139,1.0,0.772,4.167e-05
