epoch,train_loss,dev_loss,dev_strict_acc,dev_fallback_acc,dev_format_rate,gpu_max_mem_gb,lr
1,2.520796,1.346939,0.01738,0.01738,1.0,0.621,0.0004
2,1.363859,1.331148,0.02139,0.02139,1.0,0.624,0.00039772
3,1.326085,1.303991,0.02139,0.02139,1.0,0.624,0.00039095
4,1.31464,1.283225,0.016043,0.016043,1.0,0.624,0.00037984
5,1.306323,1.27211,0.025401,0.025401,1.0,0.624,0.00036467
6,1.284726,1.318216,0.022727,0.022727,1.0,0.624,0.00034581
7,1.269953,1.277148,0.018717,0.018717,1.0,0.624,0.00032374
8,1.249365,1.276038,0.016043,0.016043,1.0,0.624,0.00029899
9,1.237432,1.281608,0.018717,0.018717,1.0,0.624,0.00027217
10,1.223654,1.291055,0.01738,0.01738,1.0,0.624,0.00024394
11,1.209255,1.290802,0.014706,0.014706,1.0,0.624,0.000215
