epoch,train_loss,dev_loss,dev_strict_acc,dev_fallback_acc,dev_format_rate,gpu_max_mem_gb
1,4.486149,3.508693,0.0,0.0,0.0,0.889
2,3.396224,3.254567,0.0,0.001337,0.0,0.889
3,3.155285,3.049582,0.0,0.004011,0.026738,0.889
4,2.957107,2.891809,0.0,0.001337,0.052139,0.889
5,2.778024,2.738083,0.001337,0.005348,0.040107,0.947
6,2.625707,2.640325,0.002674,0.004011,0.139037,0.947
7,2.489085,2.543615,0.008021,0.009358,0.22861,0.947
8,2.370377,2.483058,0.002674,0.002674,0.184492,0.947
9,2.294788,2.455176,0.002674,0.004011,0.227273,0.947
10,2.210197,2.410796,0.002674,0.005348,0.17246,0.947
