page_id,book_slug,book_title,page_name,variant,is_original,degradation_type,image_path,public_regression_score
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_original.jpg,5.874916572184419
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_contrast_loss.jpg,5.784416477702188
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_content_crop.jpg,5.947909391534383
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_occluding_prompt.jpg,5.913356764928189
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_clutter_controls.jpg,5.90608994708994
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_tiny_text_band.jpg,5.799685185185177
0,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page1,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0000_zibu-and-zizo_zibu-and-zizo_en_page1_overlap_text_block.jpg,5.962215325018903
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_original.jpg,5.730833144368849
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_contrast_loss.jpg,5.723853363567651
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_content_crop.jpg,5.744976379440653
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_occluding_prompt.jpg,5.666660430839001
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_clutter_controls.jpg,5.72788595993952
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_tiny_text_band.jpg,5.698431972789109
1,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page2,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0001_zibu-and-zizo_zibu-and-zizo_en_page2_overlap_text_block.jpg,5.629499055177619
2,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page3,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0002_zibu-and-zizo_zibu-and-zizo_en_page3_original.jpg,5.723491874527581
