degradation_type,score_name,n_pairs,ranking_accuracy,ranking_ci_low,ranking_ci_high,mean_score_drop,score_drop_ci_low,score_drop_ci_high,median_score_drop,paired_t_p_greater,wilcoxon_p_greater
overall,public_regression_score,1080,0.5601851851851852,0.5305555555555556,0.587986111111111,0.01779189371432169,0.012623447383652396,0.02289472613035007,0.008375944822375025,3.505191498304137e-12,1.7856340802448921e-09
contrast_loss,public_regression_score,180,0.7833333333333333,0.7222222222222222,0.8388888888888889,0.06412462028161273,0.047811070353714576,0.08047677170955936,0.0738510015117173,1.191284123219099e-13,2.500161360282025e-13
content_crop,public_regression_score,180,0.6111111111111112,0.5388888888888889,0.6777777777777778,0.015902354826611086,0.007744997519841371,0.02429424509766068,0.010663832199545809,0.00012355449756712067,0.0001825696583188956
occluding_prompt,public_regression_score,180,0.3888888888888889,0.31666666666666665,0.46111111111111114,-0.010190019741063002,-0.018822681035483662,-0.0014256226826820208,-0.015963628633273608,0.9873367772715251,0.9983197771733865
clutter_controls,public_regression_score,180,0.5055555555555555,0.43333333333333335,0.5777777777777777,0.0036216162952280384,-0.0014708742082337105,0.008943105040031457,0.0003492063492092079,0.09291542998071611,0.15970868965982837
tiny_text_band,public_regression_score,180,0.7666666666666667,0.7,0.8222222222222222,0.06757909244084713,0.053756693901289294,0.08251918682884063,0.06782406977942479,6.289138216703958e-17,4.5788632866027374e-17
overlap_text_block,public_regression_score,180,0.3055555555555556,0.2388888888888889,0.37222222222222223,-0.03428630181730583,-0.04427745556889527,-0.024595775411667662,-0.04006840513983212,0.9999999999132707,0.999999999974041
overall,public_screening_score,1080,0.5175925925925926,0.487962962962963,0.5472222222222223,0.005704069223550094,0.0025542582244695634,0.008802773339946227,0.0011815071576092295,9.48771003467172e-05,0.001161163833661292
contrast_loss,public_screening_score,180,0.6888888888888889,0.6222222222222222,0.75,0.032894863311449835,0.02387628517213446,0.04178681347514708,0.03063668023008287,3.1527832605437333e-12,5.876875730277216e-11
content_crop,public_screening_score,180,0.5833333333333334,0.5111111111111111,0.6555555555555556,0.007373198472350907,0.0026864194074735876,0.012055019032340046,0.007058924897093227,0.0014907164115909117,0.0007702153490393002
occluding_prompt,public_screening_score,180,0.24444444444444444,0.18333333333333332,0.3056944444444437,-0.020766963152742398,-0.025855320359634802,-0.015865537693142275,-0.01915038842729555,0.9999999999999064,0.9999999999998557
clutter_controls,public_screening_score,180,0.4722222222222222,0.4,0.55,0.001796321064444428,-0.0017522073118437652,0.005571602460863408,-0.0016776595375241343,0.1659412854156698,0.4709615998755769
tiny_text_band,public_screening_score,180,0.8111111111111111,0.7555555555555555,0.8666666666666667,0.03729887871145718,0.02952925177368536,0.04475770726151495,0.039799509920688675,1.3406541641923888e-17,4.416315178666447e-17
overlap_text_block,public_screening_score,180,0.3055555555555556,0.2388888888888889,0.37222222222222223,-0.02437188306565938,-0.03155681637007153,-0.016988617440839484,-0.023946194229700513,0.9999999998761103,0.9999999997320377
