task,block,method,fold,n_train,n_test,mae,rmse,spearman,pairwise_acc,ndcg,epochs
grouped_cv,layout64,Mean,0,800,200,0.4902760416666666,0.5895585334153994,0.0,0.0,0.8913207456996524,
grouped_cv,layout64,Ridge,0,800,200,0.5379586092631022,0.6691493735327996,-0.10164288884422257,0.44991103202846977,0.8787059395327873,
grouped_cv,layout64,ElasticNet,0,800,200,0.5359976689020792,0.6641951584111729,-0.11249138196265135,0.4451067615658363,0.8785019260840764,
grouped_cv,layout64,SVR,0,800,200,0.5319553665441265,0.6850879926865009,-0.06579833699137232,0.4690391459074733,0.8755833532063911,
grouped_cv,layout64,kNN,0,800,200,0.5069891612117658,0.612955331299496,-0.03596840003735117,0.4822953736654804,0.9000807584072203,
grouped_cv,layout64,RF,0,800,200,0.5095779308712117,0.6321854586785067,-0.1745932685393188,0.41441281138790037,0.8832096939432695,
grouped_cv,layout64,ExtraTrees,0,800,200,0.5062187962962965,0.6382948954512319,-0.13817245655210175,0.4342526690391459,0.8648913069088818,
grouped_cv,layout64,HGB,0,800,200,0.5509230534755138,0.686441035012973,-0.12700517349845655,0.4382562277580071,0.867230061587728,
grouped_cv,layout64,FS64-Ridge,0,800,200,0.5379585854212443,0.6691493482255065,-0.10164288884422257,0.44991103202846977,0.8787059395327873,
grouped_cv,layout64,FS64-ExtraTrees,0,800,200,0.5073312301587298,0.6375744029119669,-0.1276228948113353,0.4396797153024911,0.8716059265110292,
grouped_cv,layout64,Mean,1,800,200,0.5041916666666667,0.6267490890084458,0.0,0.0,0.9258007028590345,
grouped_cv,layout64,Ridge,1,800,200,0.4928756960233052,0.6249295957972779,0.13923594331567124,0.5697067817952869,0.9271821824016664,
grouped_cv,layout64,ElasticNet,1,800,200,0.49257888158162433,0.6235934101456126,0.13979579588816932,0.5691671163878396,0.9280605665817021,
grouped_cv,layout64,SVR,1,800,200,0.517408391189593,0.6726542068506823,0.09946511192913819,0.5450620615218564,0.9386315731427946,
grouped_cv,layout64,kNN,1,800,200,0.4997765566937543,0.6250006162740618,0.11571148590116735,0.5568447562511243,0.9344230697814475,
grouped_cv,layout64,RF,1,800,200,0.49792142730918754,0.6224136504908852,0.13198980798195323,0.5626911314984709,0.9421559946566201,
grouped_cv,layout64,ExtraTrees,1,800,200,0.4984642835096992,0.6207379790443621,0.1597485907178321,0.5770822090304012,0.9458507352077247,
