block,method,mae,rmse,spearman,pairwise_acc,ndcg
visual_handcrafted,RF,0.47477524768171653,0.6014712967018518,0.14081923257387957,0.5697864208625989,0.9142494012351037
layout64_visual_handcrafted,RF,0.4770573591331508,0.6020599134387765,0.11815294683308131,0.5601175273856767,0.9101370523584544
clip512_visual_handcrafted,FS128-ExtraTrees,0.47933943650793676,0.6000296423372564,0.12514059945227227,0.5625624672229556,0.9153587763349694
clip512_visual_handcrafted,ExtraTrees,0.4801165756172838,0.5993134069012894,0.11661423839929966,0.5595735685888362,0.9139793859304408
visual_handcrafted,FS73-ExtraTrees,0.4809443849206348,0.6111121353700104,0.11226673158014402,0.5550328849307417,0.9075464597535683
clip512_visual_handcrafted,RF,0.48098417717544806,0.5987736699884432,0.10474059453740026,0.5545340610070499,0.9148558969751657
visual_handcrafted,ExtraTrees,0.4815451203703699,0.6112298288720306,0.10303799544580368,0.551344330841985,0.9070835428704995
clip512,RF,0.4817601805262637,0.5995979050028337,0.08662870829735032,0.5458720317919502,0.9112810753699486
visual_handcrafted,ElasticNet,0.4822507282892863,0.6050571877061465,0.11222825144537649,0.5577344155785469,0.9174779891137639
layout64_visual_handcrafted,ExtraTrees,0.4826963518518519,0.6108547905251707,0.06850666251602144,0.5350405922283171,0.9084183823300871
layout64_clip512_visual_handcrafted,ExtraTrees,0.4827298888888888,0.6022850325204439,0.09199118873035024,0.5476289491822443,0.9096271279203618
layout64_visual_handcrafted,FS128-ExtraTrees,0.4827314801587302,0.6113559778880598,0.06423090217490607,0.5320965990351004,0.9087758270887518
clip512,ExtraTrees,0.4830796095679011,0.6021585855807864,0.07851927161174804,0.5403928544837088,0.9069758569086274
layout64_clip512_visual_handcrafted,RF,0.48315641032539974,0.6011888573079119,0.07701981960051456,0.5395305168461355,0.9109537134340066
clip512,FS128-ExtraTrees,0.4836937242063491,0.6040868090092761,0.07231831726355334,0.5383086898380723,0.911802496618583
layout64_clip512_visual_handcrafted,FS128-ExtraTrees,0.48384984920634927,0.6047283298149477,0.08458083304888724,0.5429847541545095,0.9099666235844215
layout64_clip512,RF,0.4848079329856102,0.6031712814956003,0.04706541000025287,0.5258767426332331,0.9070985411100343
layout64_clip512,FS128-ExtraTrees,0.48500523412698415,0.607277003227804,0.047279826113740306,0.5225576501089254,0.9088503818674732
visual_handcrafted,FS64-Ridge,0.485495343208313,0.6102716440034909,0.10889813941510502,0.5568072200813606,0.914968107909085
visual_handcrafted,kNN,0.48562114207546464,0.6110261594326235,0.045717236426160344,0.525941488750463,0.9107307642969319
clip512,Mean,0.4858560416666666,0.6022056662727934,0.0,0.0,0.9015178543447814
clip512_visual_handcrafted,Mean,0.4858560416666666,0.6022056662727934,0.0,0.0,0.9015178543447814
layout64,Mean,0.4858560416666666,0.6022056662727934,0.0,0.0,0.9015178543447814
layout64_clip512,Mean,0.4858560416666666,0.6022056662727934,0.0,0.0,0.9015178543447814
layout64_clip512_visual_handcrafted,Mean,0.4858560416666666,0.6022056662727934,0.0,0.0,0.9015178543447814
layout64_visual_handcrafted,Mean,0.4858560416666666,0.6022056662727934,0.0,0.0,0.9015178543447814
