block,method,mae,rmse,spearman,pairwise_acc,ndcg
layout64_visual_handcrafted,RF,0.4356025027794241,0.56033003137237,0.28468471445581506,0.6430511543684926,0.9223752131009111
layout64_visual_handcrafted,FS128-ExtraTrees,0.4422257290513102,0.5716590636257491,0.2610341024667185,0.6303757356269806,0.8979699331515945
layout64,RF,0.44276501679844704,0.5633789670858934,0.255186861214965,0.634676324128565,0.9466171560495712
layout64_clip512_visual_handcrafted,kNN,0.44301521652997866,0.5678961116703318,0.18123746090947093,0.5980081484834767,0.9178081887691688
layout64_clip512_visual_handcrafted,ExtraTrees,0.4443105081826017,0.5728991580203543,0.13188856489758985,0.5611136260751471,0.9141943077803095
layout64_visual_handcrafted,ExtraTrees,0.4464816968130927,0.5761210736417997,0.23037874572904754,0.6192847442281575,0.8973168953035883
clip512_visual_handcrafted,ExtraTrees,0.4473083070150252,0.5774040760345642,0.1009004614544446,0.545948392937981,0.9156155269522367
clip512_visual_handcrafted,RF,0.44771321379477064,0.5749379874029763,0.12101030721862228,0.5581711181530105,0.9202364942875513
clip512_visual_handcrafted,FS128-ExtraTrees,0.4480637689184203,0.5744084360031496,0.09811335229748037,0.5488909008601177,0.9203354196118662
layout64,ExtraTrees,0.44823974611377676,0.5646217538252847,0.20103446789072407,0.6100045269352649,0.9442406907096783
layout64,FS64-ExtraTrees,0.4483714777900824,0.5636293033163742,0.21642897999954797,0.6231326392032593,0.9395721090408191
visual_handcrafted,RF,0.4490586451602266,0.5799543019278189,0.1494814804536927,0.5706201901312811,0.9102165910685326
layout64_clip512_visual_handcrafted,FS128-ExtraTrees,0.44994632090562314,0.5746370654314232,0.11479903538310199,0.5581711181530105,0.9236553103552982
layout64_clip512_visual_handcrafted,RF,0.4504895775461018,0.5750337066868944,0.09401800823010435,0.5493435943866003,0.9154387458891265
clip512,FS128-ExtraTrees,0.4510971914605635,0.5782877600629828,0.09622494364419032,0.5488909008601177,0.9159471161480703
clip512,ExtraTrees,0.4524239879414289,0.5811545401894578,0.06632893195234535,0.5280669986419194,0.9179246514815197
layout64_clip512,FS128-ExtraTrees,0.4528238587424637,0.5835071233233711,0.053249426837163175,0.5242191036668176,0.9117378659243436
layout64_clip512,ExtraTrees,0.45336245095224414,0.581591001941026,0.044424529169754985,0.520597555454957,0.9138294375022209
clip512,RF,0.45351723386970483,0.5810530698647997,0.05582039283501589,0.5255771842462653,0.9120511021288115
layout64_visual_handcrafted,kNN,0.4538234240383066,0.5881066408333245,0.13643610320573865,0.560208239022182,0.8885697584511485
layout64,ElasticNet,0.4540397843649221,0.586929043360122,0.12972713330647473,0.5586238116794929,0.9076827692158163
layout64_clip512,RF,0.45540466884297615,0.5829670397357964,0.04235694921351722,0.5217292892711635,0.9158828978662318
visual_handcrafted,ExtraTrees,0.4568804909560716,0.5900864237734749,0.11324621742422192,0.5527387958352196,0.8926143210588067
visual_handcrafted,FS73-ExtraTrees,0.4585372523686476,0.5927255720002683,0.10202668107297302,0.5497962879130829,0.8916214748881319
layout64_clip512,kNN,0.4588700217706447,0.5837244976212131,0.07000052166830538,0.5407424173834314,0.9148246286410407
layout64,FS64-Ridge,0.4592759331991506,0.5910399760039562,0.1339447688980849,0.5620190131281123,0.9089457429638984
layout64,Ridge,0.4592759553776231,0.5910400031848225,0.1339447688980849,0.5620190131281123,0.9089457429638984
layout64_clip512_visual_handcrafted,SVR,0.4597038855341778,0.590757025868652,0.1132206215238008,0.5497962879130829,0.910191251019076
clip512_visual_handcrafted,SVR,0.4605003196700525,0.5901997829092664,0.14697592620136055,0.5692621095518334,0.9186259895330287
clip512,Mean,0.46090655844213635,0.5821777989515375,0.0,0.0,0.9012693011886951
clip512_visual_handcrafted,Mean,0.46090655844213635,0.5821777989515375,0.0,0.0,0.9012693011886951
layout64,Mean,0.46090655844213635,0.5821777989515375,0.0,0.0,0.9012693011886951
layout64_clip512,Mean,0.46090655844213635,0.5821777989515375,0.0,0.0,0.9012693011886951
layout64_clip512_visual_handcrafted,Mean,0.46090655844213635,0.5821777989515375,0.0,0.0,0.9012693011886951
layout64_visual_handcrafted,Mean,0.46090655844213635,0.5821777989515375,0.0,0.0,0.9012693011886951
visual_handcrafted,Mean,0.46090655844213635,0.5821777989515375,0.0,0.0,0.9012693011886951
clip512_visual_handcrafted,kNN,0.4613831972214734,0.5815557120581795,0.12331678224545699,0.5679040289723857,0.9125697292107102
layout64_visual_handcrafted,HGB,0.46161607012516526,0.5932137499282997,0.19555694520060862,0.6004979628791308,0.9106581961972747
layout64_clip512_visual_handcrafted,HGB,0.4622029625889898,0.5958276784065163,0.07284735459291886,0.5387052965142598,0.9128074859916634
clip512,kNN,0.4636567291218166,0.5842372555646163,0.127244330965628,0.5708465368945224,0.9095731790519983
visual_handcrafted,ElasticNet,0.46637892045407947,0.6090939584023265,0.08992266416272833,0.5325939339067451,0.8970297031159878
clip512,SVR,0.4669600751515562,0.5937774700851014,0.11600204270289369,0.5565866908103214,0.91946904942073
layout64,HGB,0.46792895458003664,0.5807252380030804,0.18566555168232127,0.5977818017202354,0.9270833011135342
layout64_clip512,SVR,0.46815496375747495,0.596888765723579,0.06146855486127199,0.528519692168402,0.9120207369362352
layout64,kNN,0.46820745887448745,0.5891906344019725,0.06020582377383106,0.5387052965142598,0.9170992387681142
visual_handcrafted,kNN,0.47019144236022553,0.6167551616207102,-0.05887483695193385,0.46016296966953374,0.8788841297720532
clip512_visual_handcrafted,HGB,0.47029923115953515,0.6142815161406836,0.03446203592807567,0.5117700316885468,0.9125683132820834
layout64_visual_handcrafted,ElasticNet,0.4717874366799682,0.6133544803479347,0.12371778468538756,0.5516070620190131,0.8986413350972365
clip512,HGB,0.47270630002845415,0.619079885201671,-0.0030700860560641786,0.4918515165233137,0.9033993636580939
layout64_clip512,HGB,0.4732671363002889,0.6142326575191964,0.0017049713669388374,0.49751018560434584,0.8989728774825579
layout64_visual_handcrafted,FS64-Ridge,0.4749073378491463,0.6192095053757416,0.11582002741101033,0.5486645540968764,0.9020253480641848
